cuda,mpi_1,mpi_16,mpi_2,mpi_32,mpi_4,mpi_8,omp_1,omp_16,omp_2,omp_32,omp_4,omp_8,seq
5.66739,30.276651,18.292419,17.629149,21.781508,12.381555,13.819993,24.69962,15.030396,14.160314,14.718586,14.487749,14.687022,34.412333
5.62102,27.416703,18.556562,14.957936,19.050418,14.750513,15.001706,26.041728,12.455718,15.262477,12.603204,11.495149,11.651996,30.305047
5.619,24.825053,18.998906,17.863324,19.003923,15.00175,15.082571,26.091192,15.387383,17.912651,14.962555,14.581408,14.983426,26.065629
2.67747,24.662967,16.139709,15.026272,21.147698,11.491578,18.281633,25.884452,12.547013,15.149545,12.349278,11.521679,11.546283,26.614293
5.62031,25.108739,19.040061,18.32904,17.893545,14.904435,13.685232,28.904471,14.359347,18.543495,15.354919,14.933931,14.935597,26.141019
5.72234,24.887316,17.060978,14.978116,18.618456,11.931903,16.436965,25.991679,15.397664,15.289177,12.612503,11.870225,11.617717,26.203344
5.62038,24.573604,17.078748,15.024312,21.432203,14.68394,14.062926,26.450295,12.206748,18.597552,15.526966,14.570239,14.425298,26.110441
5.61796,24.610755,21.147657,18.183698,18.581947,12.683939,16.674422,26.029024,14.819681,15.499833,15.030344,11.956921,14.945344,26.263115
5.61949,27.489489,16.879901,15.879427,19.174947,15.082682,15.752127,26.106224,12.192605,18.413943,12.386884,14.302133,12.293042,26.070921
5.614,24.636823,18.72395,18.398777,21.997024,11.405251,19.063642,26.024163,14.82435,15.922977,15.270783,12.231006,14.919223,29.229072
5.60741,24.572628,17.141029,15.220532,18.212143,15.723263,15.675122,25.872629,12.355176,15.512788,12.518354,14.826956,12.118184,26.609878
5.60509,24.588367,16.827,18.76421,18.001668,11.945232,14.947453,26.105574,14.962724,18.930458,16.050508,14.87499,14.684074,26.004861
5.60218,25.024509,19.320405,15.121003,21.259158,14.305623,18.252215,25.886048,12.409502,15.274902,12.473041,11.555009,11.923188,26.131696
5.60528,24.652813,16.225643,14.557289,17.905765,12.355202,14.362163,26.051921,15.2957,18.874052,15.095367,14.932462,14.464559,26.095036
2.66038,24.726151,19.049348,17.711256,19.935582,14.331365,17.106868,28.798394,12.023222,15.30435,12.428393,11.91062,11.510209,26.260332
