cuda,mpi_1,mpi_16,mpi_2,mpi_32,mpi_4,mpi_8,omp_4,seq
5.61121,28.069569,15.421995,16.51275,20.232232,13.922642,15.200645,12.438156,24.984263
5.53378,25.209699,18.237749,13.616358,18.509665,11.949792,14.41481,10.137491,26.434522
3.04292,27.205832,15.79538,16.437262,17.427083,14.337477,17.029929,13.265274,26.197713
5.52715,24.710271,18.289927,13.563103,20.151945,11.933712,15.857371,13.26492,26.66007
5.52021,24.780017,16.119583,17.0163,17.685884,14.470846,17.516978,10.875807,26.27971
5.52222,24.713157,16.520106,15.069498,19.144055,11.691849,14.580643,13.380783,26.204497
5.53659,24.723659,18.475702,16.329208,21.467432,14.535077,16.540206,10.930027,26.148866
5.5267,24.801384,16.351988,14.37579,19.007534,11.826211,14.051627,13.614767,26.153226
3.13527,27.692554,18.61933,18.055993,19.370877,14.375687,16.380215,10.992546,28.621129
5.52642,24.811073,16.501792,16.306805,23.274152,14.344922,14.452522,13.366383,26.931998
5.53139,25.038472,17.263605,13.59686,20.980572,11.590255,16.655836,13.376745,26.366597
5.55568,24.752064,14.974208,17.196703,20.382173,14.535403,15.138855,10.88296,26.407784
5.51775,24.75692,18.594109,15.021012,23.89295,11.741878,13.301059,13.399657,26.587121
3.03648,24.783955,16.188149,17.526791,20.64755,14.130917,14.305659,10.892959,26.212257
5.51464,24.847428,15.113975,14.481221,20.66356,11.726652,17.47275,13.378244,26.269254
